video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
tRHJu7zJhqw,Tina Yong,Pregnancy Transformation | 6 Weeks to 38 Weeks,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'belly', 'pregnant', 'pregnancy', 'belly growth', 'pregnant belly', 'pregnant mum', 'mommy', 'motherhood', 'mother', 'mummy', 'pregnant mother', 'pregnant growth', 'pregnancy timelapse', 'pregnant timelapse', 'pregnant belly grow', 'baby', 'baby growth', 'baby bump', 'baby belly', 'tina']",2025-02-28T08:17:14Z,61752,2963,0,25,PT14S,hd,false
lyYEGZeI01Y,Tina Yong,PREGNANCY TRANSFORMATION | Watch my Belly Grow🤰🏻,"Sharing my complete pregnancy transformation with baby #2! Watch as my bump grows week by week in this pregnancy journey. From first trimester changes to full term, documenting how different this second pregnancy has been.
Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 

Watch my 2nd birth vlog here https://www.youtube.com/watch?v=1Kh2Ui6JWQY

____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'pregnancy transformation', 'belly transformation', '2nd pregnancy', 'week by week', 'pregnancy']",2025-02-19T05:11:23Z,69286,3429,0,119,PT3M54S,hd,false
1Kh2Ui6JWQY,Tina Yong,Raw & Real Unmedicated Natural Birth,"We never expected our birth to be this fast and intense! Sharing our raw and real experience of welcoming our second baby through an unmedicated natural birth in Vietnam. From first contractions to holding our precious little one, every emotional moment of bringing baby earthside is captured in this intimate birth story.

Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 

Watch my previous water birth story here https://youtu.be/Evz1bBe-j24?si=5WjPJawiXmB8RFqo  
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'Natural Birth', 'Unmedicated Birth', 'Birth in vietnam', 'no epidural', 'birth story', 'birth vlog', 'raw and real birth']",2025-02-13T12:00:07Z,694626,18621,0,1507,PT22M10S,hd,true
sJSj4tS4vhw,Tina Yong,My Birth Vlog,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it']",2025-02-12T07:12:07Z,67413,3371,0,37,PT22S,hd,false
c_UNggJ59ZU,Tina Yong,I Gave Birth in Vietnam | Unmedicated Birth Story Trailer,"I've been waiting to share this life-changing experience with you. 
My birth vlog will go live on 13/02/205. Here's the link https://www.youtube.com/watch?v=1Kh2Ui6JWQY


Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it']",2025-02-12T06:02:42Z,75149,2024,0,103,PT22S,hd,false
c3rfGg_zLSU,Tina Yong,I found the BEST garlic bread recipe,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'garlic', 'garlic recipes', 'garlic bread', 'cheese', 'garlic cheese', 'cheesy bread', 'tiktok recipes', 'recipes', 'bread', 'bread baking', 'baking recipes', 'bread recipes', 'easy recipes', 'viral recipes']",2025-02-08T03:01:32Z,24190,2076,0,9,PT45S,hd,false
WfSeWwVBUJU,Tina Yong,I Tried Viral Garlic Recipes *so good*,"Get an exclusive offer on Rosetta Stone’s monthly subscriptions or unlimited access 🌍✨ Save over 60% for a limited time: https://partners.rosettastone.com/tinayong
This video is sponsored by @rosettastone #rosettastone #rosettastonepartner

If you're a fan of garlic, you have to try these viral TikTok recipes!
Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 

Korean Pickled Garlic - https://vt.tiktok.com/ZS6qnEp23/
Cheesy Pull Apart Bread - https://vt.tiktok.com/ZS6qn4sAh/
Spicy Garlic Butter Pasta - https://vt.tiktok.com/ZS6qnwq62/

00:00 Welcome to viral garlic recipes 
1:23 Cheesy pull-apart garlic bread begins 
6:58 Korean pickled garlic recipe 
11:46 Spicy garlic butter pasta 


____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'viral', 'tiktok', 'tiktok recipes', 'recipes', 'cooking', 'easy recipes', 'garlic', 'garlic recipes', 'garlic bread', 'pasta recipes', 'fast recipes', 'viral tiktoks', 'kitchen chaos', 'cooking vlog', 'garlic pasta', 'cheesy garlic bread', 'baking recipes', 'bread recipes', 'korean recipes', 'korean garlic', 'korean pickled garlic', 'korean recipe']",2025-02-03T07:44:47Z,321260,13818,0,215,PT16M56S,hd,true
l0mcJZQYqtI,Tina Yong,The secret to my cooking,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina', 'tina young', 'Tina yong', 'Funny', 'Viral', 'Comedy', 'TikTok', 'Eat', 'ratatouille', 'Cooking', 'Cooking hacks', 'Hack', 'Recipe', 'Viral recipe', 'Skit']",2025-01-23T12:30:20Z,474882,20412,0,33,PT9S,hd,false
0ckntdRMgPg,Tina Yong,Making Frozen Gummies!,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'frozen recipes', 'frozen', 'gummy', 'gummies', 'frozen gummies', 'frozen candy', 'gummy bear', 'tiktok recipes', 'tiktok', 'recipes', 'viral', 'cooking video', 'fast recipes', 'freezer recipes', 'viral candy']",2025-01-21T03:50:29Z,29844,1858,0,11,PT34S,hd,false
ceIAPzgTOiA,Tina Yong,"Things I WON'T be doing for baby #2 | water birth, breastfeeding, postpartum","These are the things I won't be doing for Baby #2—and what I’ve learned from my first-time parenting journey!
Watch my first birth vlog: https://youtu.be/Evz1bBe-j24?si=0jPcl5A6_Ywa-NdU
Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'baby', 'pregnant', 'pregnancy', 'mum life', 'mom life', 'mom', 'mum', 'mummy', 'toddler', 'birth', 'girl talk', 'q&a', 'questions', 'faq', 'mummy talk', 'mum talk']",2025-01-16T06:52:11Z,144604,5855,0,251,PT15M13S,hd,true
